,0
Brooklyn Lab School,"Address
999 Jamaica Ave
Brooklyn, NY 11208"
Gorton High School,"Address
100 Shonnard Pl
Yonkers, NY 10703"
Epic High School North,"Address
94-25 117th St, South Richmond Hill, NY 11419"
Belleville High School,"Address
100 Passaic Ave
Belleville, NJ 07109"
J.M. Wright Technical High School,"Address
120 Bridge St
Stamford, CT 06905"
Secondary School for Journalism,"Address
237 7th Ave
Brooklyn, NY 11215"
Pan American International High School at Monroe,"Address
1300 Boynton Ave
Bronx, NY 10472"
Washington Heights Expeditionary Learning School,"Address
511 W 182nd St
New York, NY 10033"
Antonia Pantoja Preparatory Academy,"Address
1980 Lafayette Ave
Bronx, NY 10473"
American History High School,"Address
74 Montgomery St
Newark, NJ 07103"
Gotham Professional Arts Academy,"Address
265 Ralph Ave
Brooklyn, NY 11233"
Richard R. Green High School of Teaching,"Address
26 Broadway
New York, NY 10004"
George Westinghouse Career & Technical Education High School,"Address
105 Tech Pl
Brooklyn, NY 11201"
Garfield High School,"Address
500 Palisade Ave
Garfield, NJ 07026"
Longwood Preparatory Academy,"Address
965 Longwood Ave
Bronx, NY 10459"
Stamford Academy,"Address
229 North St
Stamford, CT 06901"
Paterson Charter School for Science & Technology,"Address
276 Wabash Avenue
Paterson, NJ 07503"
Brooklyn Community Arts & Media High School (BCAM),"Address
300 Willoughby Ave
Brooklyn, NY 11205"
Academy for Young Writers,"Address
1065 Elton St
Brooklyn, NY 11208"
Brooklyn Theatre Arts High School,"Address
6565 Flatlands Ave
Brooklyn, NY 11236"
High School of Sports Management,"Address
2630 Benson Ave
Brooklyn, NY 11214"
Marta Valle High School,"Address
145 Stanton St
New York, NY 10002"
Bronx Academy of Health Careers,"Address
800 E Gun Hill Rd
Bronx, NY 10467"
Thomas Jefferson Arts Academy,"Address
NJ 07202"
The School for Classics,"Address
370 Fountain Ave
Brooklyn, NY 11208"
Harlem Children's Zone Promise Academy II Charter School,"Address
35 E 125th St
New York, NY 10035"
